
"Utah Tech",91.104236086476,105.65124038329,0.1539955917865,6–13,6,19,45.5,52,35.4,36.5,20.9,19.7,24.7,32.6,73.9,45.9,53.9,29.7,32.5,5.3,10.2,61.7,54.1,34,36.4,73.9,,,,2021,,,,-9.9131444557481,73.5,66.4
Akron,106.63752725056,101.85169635177,0.6290289918709,13–8,13,21,51.5,48.6,30.7,27.3,17,16.4,30,28.8,70,52.7,49.3,33.4,31.6,9.1,7.4,48.2,46.1,46.3,33.7,69.4,,,,2021,,,,-3.1291255688955,75.4,72
Memphis,101.6785701312,86.088812594067,0.87147084091689,16–8,16,24,50.4,43.9,34.2,36.1,22.4,22.4,33.7,24.9,72.7,48.8,45.9,35.4,27.1,14.2,8.3,61.4,51.2,35.6,38.7,73.2,,,,2021,,,,-1.0869233572763,62.1,68.6
"Central Arkansas",97.374078134935,112.92294960579,0.15398584565681,4–19,4,23,49.3,53.9,32.4,28.8,23.9,15.4,28.9,28.5,73.8,46.8,51.7,36,38.2,6.7,9,53.4,57.3,34,38.2,72.4,,,,2021,,,,-13.173033862533,71.3,73.6
"Murray St.",103.26107531271,101.87028660034,0.53890673108597,11–13,11,24,54.7,49.7,26.1,31.4,19.3,19.4,27.6,26,67.2,54.5,50.1,36.6,32.7,9.4,11.4,58.2,46,39.9,38.1,67.2,,,,2021,,,,-10.277213022562,67.5,69.3
American,96.923107661845,104.48377759506,0.2965440664784,4–6,4,10,52.6,50.2,26.8,38.4,22.3,17.6,24.1,29.9,67.7,49.5,52.9,37.8,29.1,11.4,7.8,51.6,43.7,42.7,29.5,67.9,,,,2021,,,,-4.5055980418789,70.5,67
"Notre Dame",113.03578716218,102.88750910995,0.74683154546173,11–15,11,26,53.9,50.8,25.9,19.7,15.7,12.8,22,29.8,67.4,52.9,48.5,36.8,36.6,9.6,11.8,57,48.8,43.4,35.9,68.2,,,,2021,,,,-3.6910933446006,77.3,73.2
Creighton,114.25020399285,94.060835817931,0.90345037924233,20–8,20,28,55.7,46.9,26.9,25.7,15.8,17.8,24.8,28.2,69.5,56.3,46.1,36.7,32.1,9.5,8.7,55.8,51.3,44.3,39,70,,,,2021,,,,3.2542446152473,64.2,70.6
Duke,113.79184363244,96.997259226363,0.86252397665481,13–11,13,24,53.6,51.3,23.4,31.9,18.4,19.9,32.2,29,69.1,54.1,50.3,35.1,35.6,11.7,10.3,55.5,48.8,38.7,32.3,69.4,,,,2021,,,,-1.8014405232744,69.1,70.6
"Bowling Green",104.55595439829,103.6440541797,0.52516344719065,13–11,13,24,48.1,51.5,28.9,30.1,13.7,19.1,30.3,29.2,72.2,48.4,51.7,31.8,34.1,5.7,9.3,45.3,49.2,38.8,39.5,71.4,,,,2021,,,,-5.5117882718988,73.8,71.4
UCLA,114.24745986825,96.165025019503,0.87883695854563,17–9,17,26,52,50.7,32.6,28,16.7,17.6,30.8,24.2,65.3,50.6,49.4,36.7,35.1,7.8,7.1,51.6,49.4,31.7,39,65.5,,,,2021,,,,2.6398275605141,72.1,73.6
Pacific,101.40159298759,96.693101348351,0.63338995296781,8–9,8,17,47.9,51.6,26.9,33.2,16.5,18.2,27.5,23.6,68.5,49.1,50.8,29.8,35.1,10,6.7,46.1,49.4,28.5,41.1,67.5,,,,2021,,,,-3.0207952758391,66.3,72.7
"Texas A&M",100.5025334385,98.241355752252,0.56505173843733,8–10,8,18,47.7,53.1,33.7,29.6,22.4,22.7,32.8,30.1,66.1,49.5,55,30,34.1,6.7,11.8,54.2,67.8,40.4,47.4,65.8,,,,2021,,,,-4.0364783101794,72.4,65.5
"North Texas",103.74624491381,94.02976060918,0.75599964942214,16–9,16,25,54,45.7,27.2,31.7,20.4,21.4,27.9,26.9,65.1,52.9,44.8,37.3,31.6,8.6,8.9,51.8,43,37.2,34.2,64.2,,,,2021,,,,-2.4207967469139,73.5,72.6
Nevada,106.64284808916,99.484631534726,0.68977024353044,15–10,15,25,51.3,48.4,38.9,41.4,18.3,17.8,24.3,24.3,70.1,50,46.9,35.5,33.6,9.1,7.7,57.1,60.6,39.3,43.5,71.2,,,,2021,,,,-2.7951310745479,76.3,71.2
UTSA,105.49817459424,105.5243667774,0.49928630870105,11–11,11,22,49.4,50.9,23.7,38.3,15.7,18.1,26.5,26.9,72.1,49.2,49.8,33.1,35.1,8.2,7.9,48.9,50.4,36.8,37.9,72.8,,,,2021,,,,-6.1205960755389,75.7,75.4
Hartford,96.740726254918,99.222973743379,0.42767249509366,15–8,15,23,50.4,47.6,28.6,25,19,20.4,24.9,28.8,66.5,51.3,50.7,32.7,28.7,6.1,10.7,46.6,48.3,42.5,40.7,67.8,,,,2021,,,,-4.8677055354102,71.2,66.8
"Mississippi Valley St.",79.479234039915,120.70580059687,0.0081190120447231,2–22,2,24,43.6,55,24.7,32.6,24.2,14.9,18.1,35.8,73.7,38.3,55.7,32.9,35.8,7,9.7,55,56.8,48.4,36.3,73.2,,,,2021,,,,-17.332674370132,57.2,67.2
"Gardner Webb",104.19894993565,104.57336472452,0.48968933141959,11–15,11,26,52.4,48.6,30,36.5,17.5,18.2,26.6,28.1,67,51,46.9,36.1,34.1,14.7,10,52.1,55.9,43.9,40.7,67.6,,,,2021,,,,-10.93757021801,69,73.2
"Norfolk St.",98.986590873289,103.87116491818,0.36495546992595,14–7,14,21,49.7,47.4,38.6,42,17.8,20.7,28.8,28.7,72.1,46.1,47.2,37.4,31.7,10.2,9.9,48,54.7,35.9,45.3,68.7,,,,2021,,,,-5.0377622825934,70.9,69.3
Chattanooga,102.48946981381,101.23561650721,0.53533061251725,16–8,16,24,50.4,51.9,28.1,23.4,15.9,18.8,22.6,25.1,68.1,48.6,52.2,35.4,34.3,5,10.6,48.9,49,40.3,35.7,67.7,,,,2021,,,,-4.2130796967846,79,70.9
"Georgia Southern",94.198459616929,103.04327376156,0.26268301724046,9–13,9,22,48,51,29.1,31.4,21.4,22.1,30.4,31,67.3,49.1,48.9,30.9,36.2,11.5,9.1,47.6,44.9,41.7,39.3,67.7,,,,2021,,,,-10.530696831488,65.7,71.4
"Northern Arizona",96.570621586405,113.07033736868,0.14016040301058,6–16,6,22,48,58.2,30.4,33.2,17.9,18.4,23.8,27.9,65.3,45.8,60.4,35,37,5.2,8.3,47.1,56.8,33.2,44.1,65.1,,,,2021,,,,-11.345828836643,66.2,73.6
Nebraska,100.61477833892,93.34284198164,0.70323062063794,6–20,6,26,48.2,49.8,31,28.4,19.7,18.1,23.1,28.9,72.7,47.1,52.1,33.2,31.3,9.1,10.9,54.6,54.1,42.5,44.9,73.1,,,,2021,,,,-6.99649146131,63.9,72.5
"Tennessee Martin",92.385999966371,112.74417524983,0.091939734676121,7–16,7,23,45.6,57.3,28.3,36.5,21,20.6,28.7,32.9,68.4,43.3,58.2,33.2,37.4,7,9,52.3,63.1,35.7,42.7,68.4,,,,2021,,,,-12.679027530992,71.2,69.9
"Morehead St.",98.063195128516,96.053764167452,0.55924450135705,21–7,21,28,51.9,47,36.8,23.1,22.9,18,31.3,24.9,67.1,51.8,47.6,34.7,30.7,14.3,9.1,51.3,49.8,34.5,41.4,66.5,,,,2021,,,,-1.9377317373714,68.3,67.9
Tennessee,108.47408930031,88.238949930801,0.91484822358753,18–8,18,26,50.1,45.9,35.1,31.1,18.2,22.9,31.4,28.6,68.8,49.8,44.8,33.8,31.8,14.4,6.8,59.2,45.1,34.3,38.1,67.8,,,,2021,,,,2.3444875356207,74.6,73.1
"Texas St.",98.782657502004,99.301699091696,0.48493776585751,17–6,17,23,51.8,49.7,27.1,33.3,20.1,22.7,28.6,26.5,63.6,49.1,47.5,39.4,35.2,9.9,7.6,52.8,53.3,27,40.7,63.8,,,,2021,,,,-3.2609044290629,71.9,70.7
"Jackson St.",87.163055465798,95.291652936192,0.26398484284885,12–6,12,18,44.6,43.8,42.1,41.2,21.6,22,29.1,26.6,70.4,41.9,43.1,34,30.3,8.4,8.2,47.4,45.2,29.3,28.4,69.7,,,,2021,,,,-3.6442785822781,68,68.9
Mississippi,105.49395581235,90.891401183711,0.84727222987462,16–11,16,27,48.9,48.6,34.4,32.9,20.4,22.7,34.8,27.3,67.2,50.6,45.7,29.9,35.7,11.8,8,48.8,58.4,30.7,36.6,66,,,,2021,,,,-1.321423659112,70,68.6
Wyoming,108.0034199749,107.99784776466,0.50014833342541,14–11,14,25,53.7,52.9,35.3,33.9,15.9,18.1,22.9,27.8,70,53.9,54.4,35.7,33,5.4,11,54.1,45.5,48.8,31.1,70.3,,,,2021,,,,-5.07459235084,71.9,71.3
Minnesota,107.46858337773,95.27309181882,0.79982293884617,14–15,14,29,45,49.7,36.7,34.3,15.6,19,29.2,31.4,70.7,46.7,48.3,28.4,35.2,11.4,7.3,56.7,56.8,40.7,31.7,71.3,,,,2021,,,,-1.2098588920932,74.1,69.5
Illinois,117.40594514274,90.809966582329,0.95045162391871,23–6,23,29,55.6,46.6,39.2,30.5,18.2,16.1,33,22.2,71.6,55.3,45.4,37.6,32.7,7,9.5,55.5,44.3,30.7,33,71.6,,,,2021,,,,8.8131049705667,69.1,68.5
UTEP,102.74047867574,99.918129575018,0.57940538848916,9–12,9,21,47.5,49.6,29.9,40.7,16.1,18.9,24.7,25.4,68.1,46.5,48.6,32.8,34.6,7,7.8,45,46.3,36.2,30.9,68.5,,,,2021,,,,-6.3728575812969,75.6,71.1
"Loyola Chicago",108.96134927896,88.239599452458,0.9187721495411,22–4,22,26,56.3,46.7,30.7,22.4,18.5,21.6,26,21,63.5,58,45.5,35.7,32.5,6.9,8.5,59.9,45.2,37,34.4,64.8,,,,2021,,,,1.8439947133395,73.3,70.1
Texas,113.56766615976,92.759264101117,0.91112906932293,19–7,19,26,52.9,46.7,34,36.7,20.2,17.8,31.3,26.9,69.6,52.4,45.8,35.7,32.3,10.1,9.6,49.7,41.3,41.9,33.4,70,,,,2021,,,,4.1580423798258,70.8,68.1
"Western Illinois",96.44638706425,108.4056131987,0.2068095902107,6–15,6,21,45.8,54.4,36.5,38.8,17.3,16.1,27.9,23.1,73.7,44.6,51.8,31.8,39.5,7.4,10.9,40.9,51,36.6,34.3,72.7,,,,2021,,,,-11.308844723151,71.7,72.7
